Date,HFRIFOF,HFRIFWI,SPTR,LBUSTRUU,LEGATRUU,LF93TRUU,USGG10YR
7/31/1996,2176.7737,3117.108,833.482,674.23,182.7958,#N/A,6.87
8/31/1996,2210.0783,3188.178,851.064,673.1,183.1647,#N/A,6.64
9/30/1996,2237.7043,3254.173,898.966,684.83,185.1579,#N/A,6.83
10/31/1996,2273.2838,3286.064,923.76,700,189.21,#N/A,6.53
11/30/1996,2326.4786,3354.414,993.584,711.99,192.1704,#N/A,6.2
12/31/1996,2342.2987,3399.028,973.897,705.37,190.835,#N/A,6.3
1/31/1997,2425.4503,3506.777,1034.741,707.53,187.7627,#N/A,6.58
2/28/1997,2466.1978,3542.897,1042.851,709.29,186.8796,#N/A,6.42
3/31/1997,2445.975,3484.793,1000.002,701.43,185.1302,#N/A,6.69
4/30/1997,2455.0251,3480.96,1059.701,711.93,185.5453,#N/A,6.89
5/31/1997,2499.7066,3633.426,1124.219,718.66,188.8364,#N/A,6.71
6/30/1997,2562.1992,3731.528,1174.586,727.19,190.8849,#N/A,6.49
7/31/1997,2681.0853,3875.939,1268.045,746.8,191.7574,#N/A,6.22
8/31/1997,2672.5058,3889.117,1197.007,740.43,191.3229,#N/A,6.3
9/30/1997,2746.8015,4033.792,1262.563,751.35,195.2006,#N/A,6.21
10/31/1997,2707.2475,3972.075,1220.397,762.25,198.7485,#N/A,6.03
11/30/1997,2693.4406,3935.135,1276.892,765.76,197.6674,#N/A,5.88
12/31/1997,2721.7217,3969.764,1298.821,773.47,198.0609,#N/A,5.81
1/31/1998,2695.5932,3941.578,1313.187,783.4,199.942,#N/A,5.54
2/28/1998,2746.8094,4070.468,1407.901,782.81,201.0375,#N/A,5.57
3/31/1998,2856.9565,4192.582,1479.997,785.5,200.5183,#N/A,5.65
4/30/1998,2882.9548,4232.831,1494.887,789.6,203.0099,#N/A,5.64
5/31/1998,2856.1433,4144.788,1469.193,797.09,204.4263,#N/A,5.65
6/30/1998,2840.4345,4139.4,1528.87,803.85,204.8151,#N/A,5.5
7/31/1998,2834.4696,4106.698,1512.59,805.56,206.0301,#N/A,5.46
8/31/1998,2622.7347,3749.416,1293.904,818.67,210.3483,#N/A,5.34
9/30/1998,2555.855,3775.287,1376.792,837.84,220.3146,#N/A,4.81
10/31/1998,2505.7602,3821.345,1488.783,833.42,223.1313,#N/A,4.53
11/30/1998,2541.8432,3963.117,1579.015,838.14,221.7821,#N/A,4.83
12/31/1998,2582.5127,4073.688,1670.006,840.66,225.214,#N/A,4.65
1/31/1999,2618.9261,4164.939,1739.839,846.66,224.3196,99.63,4.72
2/28/1999,2613.1645,4109.961,1685.767,831.88,217.6509,96.79,5
3/31/1999,2667.5183,4239.014,1753.212,836.49,217.9441,97.03,5.23
4/30/1999,2754.4794,4429.77,1821.106,839.14,217.7236,97.08,5.18
5/31/1999,2777.617,4461.664,1778.103,831.79,214.5524,95.63,5.54
6/30/1999,2856.5013,4623.623,1876.783,829.14,211.4375,94.35,5.9
7/31/1999,2877.3538,4647.666,1818.181,825.61,214.6896,95.73,5.79
8/31/1999,2880.5189,4647.201,1809.186,825.19,214.3504,95.56,5.94
9/30/1999,2877.0623,4654.636,1759.589,834.77,216.9889,96.69,5.92
10/31/1999,2913.601,4729.11,1870.937,837.85,216.6643,96.6,6.11
11/30/1999,3056.6588,4968.403,1908.97,837.79,214.2928,95.67,6.03
12/31/1999,3266.0399,5348.486,2021.401,833.75,213.5597,95.47,6.28
1/31/2000,3316.3369,5382.717,1919.841,831.02,209.9137,93.89,6.66
2/29/2000,3489.1181,5714.292,1883.499,841.07,209.5158,93.82,6.52
3/31/2000,3497.143,5767.435,2067.76,852.15,213.7084,95.6,6.26
4/30/2000,3379.2893,5603.063,2005.549,849.71,208.4867,93.35,5.99
5/31/2000,3325.8965,5493.243,1964.401,849.32,209.452,93.68,6.44
6/30/2000,3419.6868,5695.394,2012.83,866.99,214.7625,96.08,6.1
7/31/2000,3412.1635,5661.222,1981.361,874.86,212.6181,95.21,6.05
8/31/2000,3480.4068,5876.914,2104.432,887.54,211.6789,94.86,5.83
9/30/2000,3440.0341,5804.041,1993.332,893.12,212.2818,95.07,5.8
10/31/2000,3405.2897,5700.148,1984.905,899.03,210.5554,94.22,5.74
11/30/2000,3352.8483,5501.213,1828.416,913.73,214.1751,95.69,5.72
12/31/2000,3399.1176,5615.088,1837.365,930.68,220.3427,98.45,5.24
1/31/2001,3464.7205,5805.44,1902.553,945.9,221.4014,99.13,5.16
2/28/2001,3439.0816,5677.14,1729.075,954.14,221.7654,99.3,5.1
3/31/2001,3423.9496,5586.873,1619.537,958.93,217.2239,97.26,4.89
4/30/2001,3447.5749,5695.817,1745.392,954.95,216.9619,97.11,5.14
5/31/2001,3478.6031,5763.597,1757.086,960.71,217.3685,97.35,5.39
6/30/2001,3476.5159,5780.312,1714.321,964.34,215.8441,96.64,5.28
7/31/2001,3461.5669,5732.335,1697.445,985.9,220.7894,98.72,5.24
8/31/2001,3467.7977,5708.833,1591.182,997.19,227.4357,101.67,4.97
9/30/2001,3413.0065,5547.273,1462.69,1008.81,229.2003,102.23,4.73
10/31/2001,3444.7475,5658.773,1490.582,1029.92,231.2717,103.16,4.57
11/30/2001,3457.1486,5775.909,1604.919,1015.72,228.5838,102.07,4.65
12/31/2001,3494.1401,5874.677,1618.979,1009.27,223.8066,100.01,5.09
1/31/2002,3509.9959,5900.958,1595.353,1017.44,221.796,99.17,5.04
2/28/2002,3500.985,5859.4,1564.586,1027.3,223.2868,99.82,4.91
3/31/2002,3528.3767,5971.38,1623.429,1010.21,221.9673,99.32,5.28
4/30/2002,3550.9533,5988.016,1525.004,1029.8,228.5365,102.21,5.21
5/31/2002,3566.5919,5990.51,1513.769,1038.55,233.6625,104.4,5.16
6/30/2002,3535.3533,5874.345,1405.943,1047.53,241.7978,107.63,4.93
7/31/2002,3488.0025,5706.303,1296.344,1060.17,243.9735,108.38,4.65
8/31/2002,3499.5466,5736.542,1304.855,1078.07,247.9547,110.25,4.26
9/30/2002,3483.9505,5647.941,1163.044,1095.53,250.6946,111.34,3.87
10/31/2002,3476.9378,5681.285,1265.411,1090.54,249.9807,111.11,3.94
11/30/2002,3506.0824,5801.635,1339.892,1090.25,250.6347,111.6,4.05
12/31/2002,3529.8887,5789.452,1261.176,1112.77,260.7936,116.06,4.03
1/31/2003,3559.6104,5827.199,1228.138,1113.72,263.7244,117.46,4.05
2/28/2003,3571.7486,5828.423,1209.711,1129.13,267.135,119.01,3.9
3/31/2003,3570.6414,5836.699,1221.456,1128.26,267.8021,119.4,3.81
4/30/2003,3614.0247,5990.555,1322.068,1137.57,271.2372,121.17,3.96
5/31/2003,3689.2325,6204.777,1391.724,1158.78,280.8783,125.44,3.57
6/30/2003,3713.8397,6288.293,1409.478,1156.48,277.8326,124.24,3.33
7/31/2003,3722.233,6370.293,1434.329,1117.6,269.7375,120.69,3.98
8/31/2003,3753.2764,6486.869,1462.302,1125.02,269.1203,120.48,4.45
9/30/2003,3797.4525,6562.311,1446.773,1154.8,282.0547,126.2,4.27
10/31/2003,3855.7054,6722.957,1528.616,1144.03,280.4815,125.62,4.29
11/30/2003,3879.6493,6793.884,1542.066,1146.77,284.1357,127.28,4.3
12/31/2003,3939.6287,6921.201,1622.939,1158.44,293.4188,131.43,4.27
1/31/2004,4002.1112,7057.964,1652.728,1167.76,294.5141,131.97,4.15
2/29/2004,4045.9744,7141.813,1675.7,1180.4,296.0315,132.62,4.08
3/31/2004,4064.2217,7177.95,1650.42,1189.24,299.3105,134.09,3.83
4/30/2004,4028.5378,7071.573,1624.511,1158.3,288.3665,129.28,4.35
5/31/2004,3993.3687,7049.934,1646.804,1153.66,289.7796,129.81,4.72
6/30/2004,4003.0327,7102.949,1678.826,1160.18,290.6265,130.26,4.73
7/31/2004,3980.0152,7034.619,1623.262,1171.68,290.5662,130.33,4.5
8/31/2004,3979.458,7042.709,1629.828,1194.03,296.9259,133.2,4.28
9/30/2004,4014.7558,7158.843,1647.48,1197.27,300.4347,134.81,4.13
10/31/2004,4046.1512,7219.121,1672.649,1207.31,307.6313,138.02,4.1
11/30/2004,4149.2067,7424.144,1740.327,1197.68,315.7826,141.63,4.19
12/31/2004,4209.9511,7546.419,1799.548,1208.7,320.621,143.83,4.23
1/31/2005,4209.7827,7530.949,1755.684,1216.29,317.2467,142.36,4.22
2/28/2005,4266.9936,7669.067,1792.631,1209.11,317.8506,142.72,4.17
3/31/2005,4243.4825,7602.653,1760.887,1202.9,314.0052,140.89,4.5
4/30/2005,4183.4796,7488.993,1727.49,1219.18,318.1145,142.63,4.34
5/31/2005,4193.3945,7567.103,1782.457,1232.37,313.8526,140.87,4.14
6/30/2005,4250.4666,7687.571,1784.987,1239.09,312.4451,140.38,4
7/31/2005,4324.2972,7864.155,1851.368,1227.81,309.9434,139.39,4.18
8/31/2005,4360.6213,7928.641,1834.476,1243.55,315.0448,141.63,4.26
9/30/2005,4427.9929,8081.505,1849.334,1230.74,310.0292,139.46,4.2
10/31/2005,4364.0084,7967.798,1818.504,1221,305.4141,137.42,4.46
11/30/2005,4437.4546,8100.303,1887.284,1226.4,303.2463,136.51,4.54
12/31/2005,4525.3162,8247.971,1887.941,1238.06,306.2398,137.87,4.47
1/31/2006,4655.5096,8535.496,1937.929,1238.13,310.1028,139.66,4.42
2/28/2006,4671.8504,8573.991,1943.188,1242.24,309.003,139.24,4.57
3/31/2006,4751.412,8741.269,1967.375,1230.05,305.9398,137.93,4.72
4/30/2006,4835.2269,8904.469,1993.793,1227.82,311.7309,140.5,4.99
5/31/2006,4743.0192,8765.559,1936.409,1226.51,315.7516,142.22,5.11
6/30/2006,4714.4662,8744.96,1939.034,1229.11,313.2429,141.11,5.11
7/31/2006,4704.6601,8729.482,1950.995,1245.73,316.3634,142.55,5.09
8/31/2006,4741.1683,8817.649,1997.415,1264.8,320.019,144.24,4.88
9/30/2006,4739.5563,8833.168,2048.889,1275.91,319.9951,144.28,4.72
10/31/2006,4819.6548,8989.339,2115.654,1284.35,323.0906,145.72,4.73
11/30/2006,4909.204,9175.418,2155.885,1299.25,330.9593,149.25,4.6
12/31/2006,4995.7041,9311.398,2186.127,1291.71,326.572,147.41,4.56
1/31/2007,5060.5521,9414.002,2219.189,1291.18,323.3623,146.06,4.76
2/28/2007,5101.9059,9478.107,2175.784,1311.09,330.0166,149.03,4.72
3/31/2007,5153.5698,9568.647,2200.12,1311.13,330.7967,149.39,4.56
4/30/2007,5240.689,9738.486,2297.575,1318.2,334.5356,151.1,4.69
5/31/2007,5350.6756,9932.591,2377.749,1308.21,329.3193,148.86,4.75
6/30/2007,5387.0265,10005.146,2338.247,1304.34,327.8588,148.12,5.1
7/31/2007,5405.0531,10013.094,2265.75,1315.22,334.517,150.82,5
8/31/2007,5287.4042,9859.681,2299.714,1331.34,338.6358,152.66,4.67
9/30/2007,5401.4198,10125.331,2385.72,1341.44,346.236,156.14,4.52
10/31/2007,5567.0364,10413.661,2423.669,1353.49,351.8794,158.66,4.53
11/30/2007,5483.3734,10184.646,2322.344,1377.83,358.604,161.46,4.15
